127.0.0.1 - - [20/Apr/2020:15:30:10 +0300] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [20/Apr/2020:15:30:16 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [20/Apr/2020:15:30:16 +0300] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [20/Apr/2020:15:30:41 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [20/Apr/2020:15:31:24 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [20/Apr/2020:15:36:28 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [20/Apr/2020:15:38:33 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [20/Apr/2020:15:38:52 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [20/Apr/2020:15:39:49 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:09:59 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 704
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:09:59 +0300] "GET /Kommunikaatio/css/main.css HTTP/1.1" 200 93
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:10:32 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 500 2577
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:45:56 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:45:56 +0300] "GET /Kommunikaatio/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:46:13 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:46:18 +0300] "GET /Kommunikaatio/nayta.jsp HTTP/1.1" 500 2423
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:46:43 +0300] "GET /Kommunikaatio/Kysy.jsp HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:46:55 +0300] "POST /Kommunikaatio/nayta.jsp HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [20/Apr/2020:16:47:00 +0300] "GET /Kommunikaatio/nayta.jsp HTTP/1.1" 500 2423
